Method,Path,Body,Single_Q,Double_Q,Dashes,Braces,Slashes,Dots,Asterik,Bad_Words,target
GET,/6195b252_3973263ec9bb3e4b938c5c86e3e974cdd8e257be/content/conversions/eLnWahTz/videos/Hs6pBnvc-33331098.mp4-12.ts,,0,0,0,0,6,2,0,0,0
GET,/v1/jwplayer6/ping.gif?h=2100168025&e=t&n=8063220736179539&abc=1&aid=f8vXkNNVEeqPsYbDDXgZUw&amp=0&ask=7yF4gUTx&at=1&c=1&ccp=0&cp=0&d=2&eb=0&ed=6&emi=12rc7na1j2nr&i=0&id=Hs6pBnvc&lid=zigpl9g42oz1&lsa=set&mt=1&pbd=1&pbr=1&pgi=1l8rnsm1t6yu&ph=1&pid=1BWlFwPe&pii=0&pl=225&plc=1&pli=uk84mgpn99nh&pp=hlsjs&ppm=VOD&prc=1&ps=4&pss=1&pt=New%20Study%20Finds%20Singles%20Want%20Emotional%20Maturity%2C%20Security%20%7C%20Time&pu=https%3A%2F%2Ftime.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&pv=8.23.2&pyc=1&s=1&sdk=0&stc=1&stpe=0&t=5%20Ways%20Love%20Is%20Good%20for%20Your%20Health&tv=3.36.1&vb=1&vi=1&vl=90&wd=400&abm=1&ati=0&avc=1&bwe=20266&fid=6e91fec2-01f6-4a1a-9b56-f91c1d8eb00e&fls=1&fsm=0&ltc=1030&mu=https%3A%2F%2Fcdn.jwplayer.com%2Fmanifests%2FHs6pBnvc.m3u8&pbs=0&pcp=17&pw=16&q=8&sbr=1020&ti=17&ubi=0&vh=540&vti=17&vw=960&sa=1637157283691,,0,0,0,0,3,9,0,0,0
GET,/6195b252_3973263ec9bb3e4b938c5c86e3e974cdd8e257be/content/conversions/eLnWahTz/videos/Hs6pBnvc-33331098.mp4-11.ts,,0,0,0,0,6,2,0,0,0
GET,/6195b252_3973263ec9bb3e4b938c5c86e3e974cdd8e257be/content/conversions/eLnWahTz/videos/Hs6pBnvc-33331098.mp4-10.ts,,0,0,0,0,6,2,0,0,0
GET,/v1/jwplayer6/ping.gif?h=-1588266826&e=ret&n=1608048199752037&abc=1&aid=f8vXkNNVEeqPsYbDDXgZUw&amp=0&ask=7yF4gUTx&at=1&c=1&ccp=0&cp=0&d=2&eb=0&ed=6&emi=12rc7na1j2nr&i=0&id=Hs6pBnvc&lid=zigpl9g42oz1&lsa=set&mt=1&pbd=1&pbr=1&pgi=1l8rnsm1t6yu&ph=1&pid=1BWlFwPe&pii=0&pl=225&plc=1&pli=uk84mgpn99nh&pp=hlsjs&ppm=VOD&prc=1&ps=4&pss=1&pt=New%20Study%20Finds%20Singles%20Want%20Emotional%20Maturity%2C%20Security%20%7C%20Time&pu=https%3A%2F%2Ftime.com%2F6115383%2Fmatch-singles-in-america-study-2021%2F%3Futm_source%3Dpocket-newtab-global-en-GB&pv=8.23.2&pyc=1&s=1&sdk=0&stc=1&stpe=0&t=5%20Ways%20Love%20Is%20Good%20for%20Your%20Health&tv=3.36.1&vb=1&vi=1&vl=90&wd=400&abm=1&ati=0&avc=1&bwe=21362&etw=10&fid=6e91fec2-01f6-4a1a-9b56-f91c1d8eb00e&fls=1&fsm=0&mu=https%3A%2F%2Fcdn.jwplayer.com%2Fmanifests%2FHs6pBnvc.m3u8&pbs=0&pr=7&q=8&sbr=1020&ubc=0&vh=540&vti=0&vw=960&sa=1637157276950,,0,0,0,0,3,9,0,0,0
POST,/youtubei/v1/log_event?alt=json&key=AIzaSyAO_FJ2SlqU8Q4STEHLGCilw_Y9_11qcW8,"{""context"":{""client"":{""hl"":""en"",""gl"":""IE"",""clientName"":1,""clientVersion"":""2.20211116.01.00"",""configInfo"":{""appInstallData"":""CMOS1IwGELDUrQUQt8utBRCp360FEJH4_BIQ2L6tBQ%3D%3D""},""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:94.0) Gecko/20100101 Firefox/94.0"",""mainAppWebInfo"":{""webDisplayMode"":""WEB_DISPLAY_MODE_BROWSER""},""browserName"":""Firefox"",""browserVersion"":""94.0"",""osName"":""Windows"",""osVersion"":""10.0"",""platform"":""DESKTOP""}},""events"":[{""eventTimeMs"":1637157266341,""sliEventBatch"":{""loggedEvents"":[{""dimensions"":{""mainAppWeb"":{""isShellLoad"":false},""csn"":""MC4xNTA1NDAxODM5NjE3Mzc5Ng..""},""records"":[{""name"":""SLI_NAME_YOUTUBE_WEB_NETWORK_REQUEST"",""state"":""SLI_STATE_START"",""sliId"":""YZwMw7e5""},{""name"":""SLI_NAME_YOUTUBE_WEB_NETWORK_REQUEST"",""status"":""SLI_STATUS_SUCCESS"",""state"":""SLI_STATE_END"",""sliId"":""YZwMw7e5""},{""name"":""SLI_NAME_YOUTUBE_WEB_NETWORK_REQUEST"",""state"":""SLI_STATE_START"",""sliId"":""jRWVyi87""},{""name"":""SLI_NAME_YOUTUBE_WEB_NETWORK_REQUEST"",""status"":""SLI_STATUS_SUCCESS"",""state"":""SLI_STATE_END"",""sliId"":""jRWVyi87""},{""name"":""SLI_NAME_YOUTUBE_WEB_NETWORK_REQUEST"",""state"":""SLI_STATE_START"",""sliId"":""BejJimUe""},{""name"":""SLI_NAME_YOUTUBE_WEB_NETWORK_REQUEST"",""status"":""SLI_STATUS_SUCCESS"",""state"":""SLI_STATE_END"",""sliId"":""BejJimUe""},{""name"":""SLI_NAME_YOUTUBE_WEB_NETWORK_REQUEST"",""state"":""SLI_STATE_START"",""sliId"":""EXWDW3np""},{""name"":""SLI_NAME_YOUTUBE_WEB_NETWORK_REQUEST"",""status"":""SLI_STATUS_SUCCESS"",""state"":""SLI_STATE_END"",""sliId"":""EXWDW3np""},{""name"":""SLI_NAME_YOUTUBE_WEB_NETWORK_REQUEST"",""state"":""SLI_STATE_START"",""sliId"":""7WDWPnJV""},{""name"":""SLI_NAME_YOUTUBE_WEB_NETWORK_REQUEST"",""status"":""SLI_STATUS_SUCCESS"",""state"":""SLI_STATE_END"",""sliId"":""7WDWPnJV""}]},{""dimensions"":{""mainAppWeb"":{""pageType"":""MAIN_APP_WEB_PAGE_TYPE_BROWSE"",""requestType"":""MAIN_APP_WEB_REQUEST_TYPE_UNKNOWN"",""isShellLoad"":false},""csn"":""MC43OTE4NjcyODI1ODkxOTA4""},""records"":[{""name"":""SLI_NAME_YOUTUBE_WEB_WARM_PAGE_NAVIGATION"",""state"":""SLI_STATE_START"",""sliId"":""hd4EUrem""}]},{""dimensions"":{""mainAppWeb"":{""pageType"":""MAIN_APP_WEB_PAGE_TYPE_BROWSE"",""requestType"":""MAIN_APP_WEB_REQUEST_TYPE_UNKNOWN"",""isShellLoad"":false},""csn"":""MC43OTE4NjcyODI1ODkxOTA4""},""records"":[{""name"":""SLI_NAME_YOUTUBE_WEB_WARM_PAGE_NAVIGATION"",""status"":""SLI_STATUS_SUCCESS"",""state"":""SLI_STATE_END"",""sliId"":""hd4EUrem""},{""name"":""SLI_NAME_YOUTUBE_WEB_WARM_PAGE_NAVIGATION"",""state"":""SLI_STATE_START"",""sliId"":""wJE1zhmX""}]},{""dimensions"":{""mainAppWeb"":{""isShellLoad"":false},""csn"":""MC43OTE4NjcyODI1ODkxOTA4""},""records"":[{""name"":""SLI_NAME_YOUTUBE_WEB_STFE_GREATER_THAN_ONE_MINUTE"",""status"":""SLI_STATUS_SUCCESS"",""state"":""SLI_STATE_END"",""sliId"":""BXg2mMne""},{""name"":""SLI_NAME_YOUTUBE_WEB_NETWORK_REQUEST"",""state"":""SLI_STATE_START"",""sliId"":""axjyIBvg""},{""name"":""SLI_NAME_YOUTUBE_WEB_NETWORK_REQUEST"",""status"":""SLI_STATUS_SUCCESS"",""state"":""SLI_STATE_END"",""sliId"":""axjyIBvg""}]},{""dimensions"":{""mainAppWeb"":{""pageType"":""MAIN_APP_WEB_PAGE_TYPE_BROWSE"",""requestType"":""MAIN_APP_WEB_REQUEST_TYPE_UNKNOWN"",""isShellLoad"":false},""csn"":""MC4yOTI2MzM4MzA3MjkxODk3""},""records"":[{""name"":""SLI_NAME_YOUTUBE_WEB_WARM_PAGE_NAVIGATION"",""status"":""SLI_STATUS_SUCCESS"",""state"":""SLI_STATE_END"",""sliId"":""wJE1zhmX""}]}],""unloggedEvents"":[]},""context"":{""lastActivityMs"":""13322""}}],""requestTimeMs"":1637157276471,""serializedClientEventId"":{""serializedEventId"":""QwmVYdv_HZqS1wKcwLzYCg"",""clientCounter"":""10533""}}",0,406,0,1,6,11,0,12,0
GET,/player-0.1.0.min.js,,0,0,0,0,1,4,0,0,0
GET,/6195b252_3973263ec9bb3e4b938c5c86e3e974cdd8e257be/content/conversions/eLnWahTz/videos/Hs6pBnvc-33331098.mp4-9.ts,,0,0,0,0,6,2,0,0,0
GET,/UpdateWidgetPerformance?widgetId=6343&pid=952&vtype=1&dtype=0&actionType=50&origId=D2111174B6VrKMtuQnlnySeBC56hQM6KRdoQPNU7iPkAHTgJ9M=&curSession=2039875&host=https://time.com/6115383/match-singles-in-america-study-2021/?utm_source=pocket-newtab-global-en-GB&callback=jsonp1637157475959,,0,0,0,0,6,1,0,0,0
GET,/wi/config/10145523.json,,0,0,0,0,3,1,0,0,0
